0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/stables-Kabuli_Chana.png HTTP/1.1" 200 44516
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/stables-soya.png HTTP/1.1" 200 47303
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/staples-sunflower_Oil.png HTTP/1.1" 200 28066
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/veg-apple.png HTTP/1.1" 200 37836
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/vega-bitter_melon.png HTTP/1.1" 200 42245
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/veg-green_grapes.png HTTP/1.1" 200 41720
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/kitchen/veg-shallot.png HTTP/1.1" 200 30597
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-bboil.png HTTP/1.1" 200 22279
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/can.png HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-soap.png HTTP/1.1" 200 57034
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-hairGel.png HTTP/1.1" 200 34177
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-lotion1.png HTTP/1.1" 200 18832
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-showerGel.png HTTP/1.1" 200 19587
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-hairColor1.png HTTP/1.1" 200 24987
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-wipes.png HTTP/1.1" 200 32000
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-essentiial.png HTTP/1.1" 200 27827
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-cream.png HTTP/1.1" 200 39738
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-bbcare.png HTTP/1.1" 200 27093
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-lotion2.png HTTP/1.1" 200 21486
0:0:0:0:0:0:0:1 - - [19/Jan/2024:21:28:10 +0700] "GET /BIGSHOP/images/personal/pers-nyle.png HTTP/1.1" 200 19671
